"","subject","type","item","condition","question","correct_answer","response","rt","group","question_type"
"595","Native 4","gp",4,0.5,"!","{The_friend}","1",1058,0.5,0.5
"599","Native 4","gp",16,0.5,"!","{The_assistant}","1",3170,0.5,0.5
"603","Native 4","gp",2,0.5,"!","{The_mother_dressed_the_baby}","0",1869,0.5,0.5
"607","Native 4","gp",15,-0.5,"!","{The_aunt_dressed_herself}","1",1286,0.5,0.5
"614","Native 4","gp",8,0.5,"!","{The_boy}","1",2749,0.5,0.5
"628","Native 4","gp",14,0.5,"!","{The_doctor_woke_himself_up}","1",1580,0.5,0.5
"632","Native 4","gp",23,-0.5,"!","{The_mother_washed_the_child}","0",3461,0.5,0.5
"638","Native 4","gp",13,-0.5,"!","{The_boy}","1",1443,0.5,0.5
"645","Native 4","gp",22,0.5,"!","{The_two_footballers_fought_each_other}","1",2300,0.5,0.5
"652","Native 4","gp",7,-0.5,"!","{The_man_woke_himself_up}","1",1120,0.5,0.5
"656","Native 4","gp",1,-0.5,"!","{The_man}","1",1064,0.5,0.5
"663","Native 4","gp",20,0.5,"!","{The_man}","1",2021,0.5,0.5
"670","Native 4","gp",3,-0.5,"!","{The_two_journalists_met_each_other}","1",2919,0.5,0.5
"673","Native 4","gp",9,-0.5,"!","{The_singer}","1",1267,0.5,0.5
"688","Native 4","gp",10,0.5,"!","{The_two_soldiers_fought_each_other}","1",2556,0.5,0.5
"694","Native 4","gp",18,0.5,"!","{The_father_washed_the_baby}","0",1469,0.5,0.5
"701","Native 4","gp",5,-0.5,"!","{The_boy}","1",1838,0.5,0.5
"708","Native 4","gp",19,-0.5,"!","{The_coach_calmed_himself_down}","1",2314,0.5,0.5
"738","Native 5","gp",19,0.5,"!","{The_basketball_player}","1",2411,0.5,0.5
"747","Native 5","gp",4,-0.5,"!","{The_friend}","1",1865,0.5,0.5
"750","Native 5","gp",7,0.5,"!","{The_lady}","1",1604,0.5,0.5
"757","Native 5","gp",16,-0.5,"!","{The_assistant}","1",4299,0.5,0.5
"765","Native 5","gp",1,0.5,"!","{The_lawyer_calmed_himself_down}","1",2875,0.5,0.5
"771","Native 5","gp",2,-0.5,"!","{The_mother_dressed_the_baby}","0",3629,0.5,0.5
"778","Native 5","gp",3,0.5,"!","{The_president}","1",1976,0.5,0.5
"781","Native 5","gp",18,-0.5,"!","{The_father_washed_the_baby}","0",3630,0.5,0.5
"791","Native 5","gp",23,0.5,"!","{The_mother}","0",2373,0.5,0.5
"798","Native 5","gp",21,0.5,"!","{Anna_dressed_the_child}","0",1624,0.5,0.5
"808","Native 5","gp",13,0.5,"!","{The_girl_calmed_the_boy_down}","0",3354,0.5,0.5
"820","Native 5","gp",8,-0.5,"!","{The_boy}","1",2142,0.5,0.5
"823","Native 5","gp",15,0.5,"!","{The_aunt}","0",1437,0.5,0.5
"827","Native 5","gp",14,-0.5,"!","{The_doctor_woke_himself_up}","1",3330,0.5,0.5
"835","Native 5","gp",24,-0.5,"!","{The_actresses}","0",3337,0.5,0.5
"842","Native 5","gp",6,-0.5,"!","{The_two_kids_fought_each_other}","1",3234,0.5,0.5
"845","Native 5","gp",22,-0.5,"!","{The_two_footballers_fought_each_other}","1",2809,0.5,0.5
"853","Native 5","gp",11,0.5,"!","{The_lady}","0",2132,0.5,0.5
"864","Native 5","gp",10,-0.5,"!","{The_two_soldiers_fought_each_other}","1",2597,0.5,0.5
"873","Native 5","gp",17,0.5,"!","{The_two_men_fought_each_other}","1",2285,0.5,0.5
"877","Native 5","gp",5,0.5,"!","{The_father_washed_the_boy}","0",1943,0.5,0.5
"885","Native 5","gp",9,0.5,"!","{The_pianist_calmed_the_singer_down}","0",3653,0.5,0.5
"888","Native 5","gp",20,-0.5,"!","{The_man}","1",1902,0.5,0.5
"898","Native 5","gp",12,-0.5,"!","{The_baby}","1",2848,0.5,0.5
"915","Native 6","gp",5,-0.5,"!","{The_father_washed_himself}","1",4095,0.5,0.5
"919","Native 6","gp",11,-0.5,"!","{The_friend}","1",1612,0.5,0.5
"932","Native 6","gp",6,0.5,"!","{The_neighbour}","1",1813,0.5,0.5
"942","Native 6","gp",2,0.5,"!","{The_baby}","1",2120,0.5,0.5
"945","Native 6","gp",10,0.5,"!","{The_General}","1",2816,0.5,0.5
"948","Native 6","gp",17,-0.5,"!","{The_two_men_fought_each_other}","1",3729,0.5,0.5
"955","Native 6","gp",15,-0.5,"!","{The_boy}","1",1811,0.5,0.5
"963","Native 6","gp",20,0.5,"!","{The_two_friends_met_the_man}","0",3125,0.5,0.5
"970","Native 6","gp",3,-0.5,"!","{The_president}","1",1585,0.5,0.5
"973","Native 6","gp",9,-0.5,"!","{The_pianist_calmed_himself_down}","1",3398,0.5,0.5
"984","Native 6","gp",7,-0.5,"!","{The_lady}","1",2098,0.5,0.5
"992","Native 6","gp",24,0.5,"!","{The_two_actresses_met_the_director}","0",2534,0.5,0.5
"998","Native 6","gp",12,0.5,"!","{The_nurse_washed_the_baby}","0",3563,0.5,0.5
"1001","Native 6","gp",13,-0.5,"!","{The_girl_calmed_herself_down}","1",2873,0.5,0.5
"1015","Native 6","gp",8,0.5,"!","{Mary_dressed_the_boy}","0",2478,0.5,0.5
"1019","Native 6","gp",16,0.5,"!","{The_researcher_woke_the_assistant_up}","0",2823,0.5,0.5
"1022","Native 6","gp",14,0.5,"!","{The_doctor}","0",2617,0.5,0.5
"1029","Native 6","gp",4,0.5,"!","{The_two_children_hugged_their_friend}","0",3084,0.5,0.5
"1033","Native 6","gp",23,-0.5,"!","{The_child}","1",1661,0.5,0.5
"1050","Native 6","gp",1,-0.5,"!","{The_lawyer_calmed_himself_down}","1",2582,0.5,0.5
"1054","Native 6","gp",22,0.5,"!","{The_coach}","1",1860,0.5,0.5
"1068","Native 6","gp",18,0.5,"!","{The_baby}","1",5989,0.5,0.5
"1075","Native 6","gp",19,-0.5,"!","{The_basketball_player}","1",1552,0.5,0.5
"1079","Native 6","gp",21,-0.5,"!","{Anna_dressed_herself}","1",2601,0.5,0.5
"1096","Native 7","gp",3,0.5,"!","{The_two_journalists_met_the_president}","0",2964,0.5,0.5
"1100","Native 7","gp",17,0.5,"!","{The_terrorist}","1",2381,0.5,0.5
"1105","Native 7","gp",4,-0.5,"!","{The_two_children_hugged_each_other}","1",2833,0.5,0.5
"1112","Native 7","gp",18,-0.5,"!","{The_baby}","1",1646,0.5,0.5
"1115","Native 7","gp",13,0.5,"!","{The_boy}","1",1324,0.5,0.5
"1118","Native 7","gp",22,-0.5,"!","{The_coach}","1",1700,0.5,0.5
"1132","Native 7","gp",1,0.5,"!","{The_lawyer}","0",2661,0.5,0.5
"1138","Native 7","gp",7,0.5,"!","{The_man_woke_himself_up}","1",4372,0.5,0.5
"1145","Native 7","gp",5,0.5,"!","{The_father}","0",3607,0.5,0.5
"1149","Native 7","gp",19,0.5,"!","{The_coach_calmed_himself_down}","1",3700,0.5,0.5
"1157","Native 7","gp",11,0.5,"!","{The_lady_woke_herself_up}","1",2960,0.5,0.5
"1164","Native 7","gp",9,0.5,"!","{The_pianist}","0",2553,0.5,0.5
"1172","Native 7","gp",15,0.5,"!","{The_aunt_dressed_the_boy}","0",2322,0.5,0.5
"1179","Native 7","gp",12,-0.5,"!","{The_nurse_washed_herself}","1",4266,0.5,0.5
"1186","Native 7","gp",23,0.5,"!","{The_mother_washed_the_child}","0",2185,0.5,0.5
"1204","Native 7","gp",6,-0.5,"!","{The_neighbour}","1",2836,0.5,0.5
"1207","Native 7","gp",10,-0.5,"!","{The_General}","1",2029,0.5,0.5
"1214","Native 7","gp",16,-0.5,"!","{The_researcher_woke_himself_up}","1",1738,0.5,0.5
"1220","Native 7","gp",2,-0.5,"!","{The_baby}","1",2359,0.5,0.5
"1224","Native 7","gp",8,-0.5,"!","{Mary_dressed_herself}","1",2836,0.5,0.5
"1231","Native 7","gp",21,0.5,"!","{The_child}","1",5031,0.5,0.5
"1238","Native 7","gp",14,-0.5,"!","{The_nurse}","1",2369,0.5,0.5
"1245","Native 7","gp",24,-0.5,"!","{The_two_actresses_met_each_other}","1",5812,0.5,0.5
"1248","Native 7","gp",20,-0.5,"!","{The_two_friends_met_each_other}","1",2375,0.5,0.5
"1280","Native 8","gp",23,-0.5,"!","{The_mother_washed_herself}","1",3574,0.5,0.5
"1285","Native 8","gp",24,0.5,"!","{The_actresses}","0",2478,0.5,0.5
"1291","Native 8","gp",7,-0.5,"!","{The_man_woke_himself_up}","1",4532,0.5,0.5
"1294","Native 8","gp",4,0.5,"!","{The_two_children}","0",1941,0.5,0.5
"1301","Native 8","gp",5,-0.5,"!","{The_boy}","1",2185,0.5,0.5
"1308","Native 8","gp",13,-0.5,"!","{The_boy}","1",1881,0.5,0.5
"1315","Native 8","gp",2,0.5,"!","{The_mother_dressed_the_baby}","0",2367,0.5,0.5
"1319","Native 8","gp",15,-0.5,"!","{The_aunt_dressed_the_boy}","0",1798,0.5,0.5
"1333","Native 8","gp",9,-0.5,"!","{The_singer}","1",1554,0.5,0.5
"1343","Native 8","gp",11,-0.5,"!","{The_lady_woke_herself_up}","1",5442,0.5,0.5
"1350","Native 8","gp",19,-0.5,"!","{The_coach_calmed_the_basketball_player_down}","0",3762,0.5,0.5
"1354","Native 8","gp",12,0.5,"!","{The_nurse}","0",4455,0.5,0.5
"1357","Native 8","gp",3,-0.5,"!","{The_two_journalists_met_each_other}","1",9266,0.5,0.5
"1364","Native 8","gp",10,0.5,"!","{The_two_soldiers_fought_the_General}","0",3592,0.5,0.5
"1370","Native 8","gp",17,-0.5,"!","{The_terrorist}","1",2585,0.5,0.5
"1382","Native 8","gp",16,0.5,"!","{The_assistant}","1",2231,0.5,0.5
"1389","Native 8","gp",18,0.5,"!","{The_father_washed_the_baby}","0",3121,0.5,0.5
"1392","Native 8","gp",8,0.5,"!","{Mary}","0",3689,0.5,0.5
"1402","Native 8","gp",22,0.5,"!","{The_two_footballers_fought_the_coach}","0",2801,0.5,0.5
"1410","Native 8","gp",14,0.5,"!","{The_doctor_woke_himself_up}","1",3341,0.5,0.5
"1413","Native 8","gp",21,-0.5,"!","{The_child}","1",2050,0.5,0.5
"1424","Native 8","gp",1,-0.5,"!","{The_lawyer}","0",3695,0.5,0.5
"1435","Native 8","gp",6,0.5,"!","{The_two_kids_fought_each_other}","1",4823,0.5,0.5
"1438","Native 8","gp",20,0.5,"!","{The_man}","1",1913,0.5,0.5
"1456","Native 9","gp",6,-0.5,"!","{The_two_kids_fought_each_other}","1",2559,0.5,0.5
"1460","Native 9","gp",21,0.5,"!","{Anna_dressed_herself}","1",1804,0.5,0.5
"1467","Native 9","gp",11,0.5,"!","{The_friend}","1",1081,0.5,0.5
"1470","Native 9","gp",9,0.5,"!","{The_pianist_calmed_the_singer_down}","0",2545,0.5,0.5
"1476","Native 9","gp",15,0.5,"!","{The_aunt}","0",1342,0.5,0.5
"1482","Native 9","gp",24,-0.5,"!","{The_director}","1",1031,0.5,0.5
"1490","Native 9","gp",19,0.5,"!","{The_basketball_player}","1",1442,0.5,0.5
"1499","Native 9","gp",16,-0.5,"!","{The_assistant}","1",1361,0.5,0.5
"1510","Native 9","gp",12,-0.5,"!","{The_baby}","1",991,0.5,0.5
"1516","Native 9","gp",17,0.5,"!","{The_two_men_fought_the_terrorist}","0",2006,0.5,0.5
"1520","Native 9","gp",8,-0.5,"!","{The_boy}","1",1512,0.5,0.5
"1529","Native 9","gp",23,0.5,"!","{The_child}","1",1537,0.5,0.5
"1532","Native 9","gp",10,-0.5,"!","{The_two_soldiers_fought_the_General}","0",2253,0.5,0.5
"1540","Native 9","gp",2,-0.5,"!","{The_mother_dressed_the_baby}","0",1618,0.5,0.5
"1551","Native 9","gp",14,-0.5,"!","{The_doctor_woke_himself_up}","1",2493,0.5,0.5
"1561","Native 9","gp",20,-0.5,"!","{The_man}","1",997,0.5,0.5
"1569","Native 9","gp",3,0.5,"!","{The_president}","1",1886,0.5,0.5
"1572","Native 9","gp",22,-0.5,"!","{The_two_footballers_fought_each_other}","1",1771,0.5,0.5
"1590","Native 9","gp",4,-0.5,"!","{The_friend}","1",1115,0.5,0.5
"1598","Native 9","gp",18,-0.5,"!","{The_father_washed_himself}","1",2599,0.5,0.5
"1604","Native 9","gp",1,0.5,"!","{The_lawyer_calmed_himself_down}","1",2493,0.5,0.5
"1607","Native 9","gp",5,0.5,"!","{The_father_washed_himself}","1",2032,0.5,0.5
"1611","Native 9","gp",7,0.5,"!","{The_lady}","1",1527,0.5,0.5
"1615","Native 9","gp",13,0.5,"!","{The_girl_calmed_herself_down}","1",2094,0.5,0.5
"1635","Native 10","gp",23,-0.5,"!","{The_child}","1",1145,0.5,0.5
"1638","Native 10","gp",19,-0.5,"!","{The_basketball_player}","1",1567,0.5,0.5
"1645","Native 10","gp",1,-0.5,"!","{The_lawyer_calmed_the_man_down}","0",5345,0.5,0.5
"1648","Native 10","gp",13,-0.5,"!","{The_girl_calmed_herself_down}","1",2692,0.5,0.5
"1655","Native 10","gp",11,-0.5,"!","{The_friend}","1",1070,0.5,0.5
"1663","Native 10","gp",3,-0.5,"!","{The_president}","1",1148,0.5,0.5
"1670","Native 10","gp",20,0.5,"!","{The_two_friends_met_each_other}","1",4235,0.5,0.5
"1683","Native 10","gp",7,-0.5,"!","{The_lady}","1",1975,0.5,0.5
"1695","Native 10","gp",5,-0.5,"!","{The_father_washed_the_boy}","0",3080,0.5,0.5
"1698","Native 10","gp",18,0.5,"!","{The_father}","0",3058,0.5,0.5
"1705","Native 10","gp",10,0.5,"!","{The_two_soldiers}","0",2028,0.5,0.5
"1708","Native 10","gp",24,0.5,"!","{The_two_actresses_met_the_director}","0",2750,0.5,0.5
"1712","Native 10","gp",9,-0.5,"!","{The_pianist_calmed_himself_down}","1",2257,0.5,0.5
"1718","Native 10","gp",2,0.5,"!","{The_mother}","0",2365,0.5,0.5
"1726","Native 10","gp",12,0.5,"!","{The_nurse_washed_the_baby}","0",2029,0.5,0.5
"1730","Native 10","gp",17,-0.5,"!","{The_two_men_fought_the_terrorist}","0",2398,0.5,0.5
"1734","Native 10","gp",22,0.5,"!","{The_two_footballers}","0",1531,0.5,0.5
"1741","Native 10","gp",16,0.5,"!","{The_researcher_woke_himself_up}","1",2310,0.5,0.5
"1748","Native 10","gp",4,0.5,"!","{The_two_children_hugged_their_friend}","0",1955,0.5,0.5
"1763","Native 10","gp",8,0.5,"!","{Mary_dressed_herself}","1",1226,0.5,0.5
"1771","Native 10","gp",15,-0.5,"!","{The_boy}","1",1730,0.5,0.5
"1781","Native 10","gp",6,0.5,"!","{The_two_kids}","0",2253,0.5,0.5
"1795","Native 10","gp",21,-0.5,"!","{Anna_dressed_herself}","1",1352,0.5,0.5
"1798","Native 10","gp",14,0.5,"!","{The_nurse}","1",2379,0.5,0.5
"1816","Native 11","gp",19,0.5,"!","{The_coach_calmed_the_basketball_player_down}","0",3984,0.5,0.5
"1822","Native 11","gp",11,0.5,"!","{The_lady_woke_herself_up}","1",4866,0.5,0.5
"1828","Native 11","gp",7,0.5,"!","{The_man_woke_the_lady_up}","0",2610,0.5,0.5
"1838","Native 11","gp",8,-0.5,"!","{Mary_dressed_herself}","1",2699,0.5,0.5
"1849","Native 11","gp",14,-0.5,"!","{The_nurse}","1",1387,0.5,0.5
"1857","Native 11","gp",12,-0.5,"!","{The_nurse_washed_herself}","1",2977,0.5,0.5
"1860","Native 11","gp",15,0.5,"!","{The_aunt_dressed_the_boy}","0",1478,0.5,0.5
"1868","Native 11","gp",24,-0.5,"!","{The_two_actresses_met_each_other}","1",2971,0.5,0.5
"1874","Native 11","gp",13,0.5,"!","{The_boy}","1",2940,0.5,0.5
"1877","Native 11","gp",23,0.5,"!","{The_mother_washed_herself}","1",3488,0.5,0.5
"1881","Native 11","gp",16,-0.5,"!","{The_researcher_woke_himself_up}","1",4928,0.5,0.5
"1885","Native 11","gp",9,0.5,"!","{The_singer}","1",1546,0.5,0.5
"1892","Native 11","gp",17,0.5,"!","{The_terrorist}","1",1470,0.5,0.5
"1898","Native 11","gp",22,-0.5,"!","{The_coach}","1",1795,0.5,0.5
"1901","Native 11","gp",5,0.5,"!","{The_father}","0",2136,0.5,0.5
"1905","Native 11","gp",21,0.5,"!","{The_child}","1",1477,0.5,0.5
"1915","Native 11","gp",18,-0.5,"!","{The_baby}","1",1461,0.5,0.5
"1926","Native 11","gp",1,0.5,"!","{The_man}","1",4194,0.5,0.5
"1937","Native 11","gp",20,-0.5,"!","{The_two_friends_met_each_other}","1",2358,0.5,0.5
"1946","Native 11","gp",10,-0.5,"!","{The_General}","1",2523,0.5,0.5
"1949","Native 11","gp",4,-0.5,"!","{The_two_children_hugged_each_other}","1",2177,0.5,0.5
"1957","Native 11","gp",2,-0.5,"!","{The_baby}","1",3624,0.5,0.5
"1967","Native 11","gp",3,0.5,"!","{The_two_journalists_met_the_president}","0",2202,0.5,0.5
"1978","Native 11","gp",6,-0.5,"!","{The_neighbour}","1",1573,0.5,0.5
"1995","Native 12","gp",13,-0.5,"!","{The_boy}","1",3244,0.5,0.5
"1998","Native 12","gp",5,-0.5,"!","{The_boy}","1",2107,0.5,0.5
"2005","Native 12","gp",1,-0.5,"!","{The_man}","1",1893,0.5,0.5
"2011","Native 12","gp",3,-0.5,"!","{The_two_journalists_met_the_president}","0",4333,0.5,0.5
"2018","Native 12","gp",10,0.5,"!","{The_two_soldiers_fought_each_other}","1",3907,0.5,0.5
"2027","Native 12","gp",23,-0.5,"!","{The_mother_washed_the_child}","0",4047,0.5,0.5
"2034","Native 12","gp",19,-0.5,"!","{The_coach_calmed_himself_down}","1",4350,0.5,0.5
"2038","Native 12","gp",2,0.5,"!","{The_mother_dressed_the_baby}","0",2880,0.5,0.5
"2061","Native 12","gp",22,0.5,"!","{The_two_footballers_fought_each_other}","1",3825,0.5,0.5
"2069","Native 12","gp",20,0.5,"!","{The_man}","1",1715,0.5,0.5
"2073","Native 12","gp",11,-0.5,"!","{The_lady_woke_herself_up}","1",4033,0.5,0.5
"2080","Native 12","gp",24,0.5,"!","{The_actresses}","0",2325,0.5,0.5
"2087","Native 12","gp",18,0.5,"!","{The_father_washed_the_baby}","0",2325,0.5,0.5
"2094","Native 12","gp",4,0.5,"!","{The_two_children}","0",2993,0.5,0.5
"2111","Native 12","gp",7,-0.5,"!","{The_man_woke_himself_up}","1",2895,0.5,0.5
"2114","Native 12","gp",8,0.5,"!","{Mary}","0",3289,0.5,0.5
"2118","Native 12","gp",16,0.5,"!","{The_assistant}","1",3541,0.5,0.5
"2121","Native 12","gp",14,0.5,"!","{The_doctor_woke_the_nurse_up}","0",2143,0.5,0.5
"2131","Native 12","gp",21,-0.5,"!","{The_child}","1",2202,0.5,0.5
"2135","Native 12","gp",17,-0.5,"!","{The_terrorist}","1",1418,0.5,0.5
"2138","Native 12","gp",12,0.5,"!","{The_baby}","1",1664,0.5,0.5
"2146","Native 12","gp",6,0.5,"!","{The_two_kids_fought_each_other}","1",2696,0.5,0.5
"2153","Native 12","gp",9,-0.5,"!","{The_singer}","1",1565,0.5,0.5
"2159","Native 12","gp",15,-0.5,"!","{The_aunt_dressed_herself}","1",3577,0.5,0.5
"2176","Native 13","gp",24,-0.5,"!","{The_director}","1",1383,0.5,0.5
"2180","Native 13","gp",12,-0.5,"!","{The_baby}","1",1629,0.5,0.5
"2191","Native 13","gp",4,-0.5,"!","{The_friend}","1",1616,0.5,0.5
"2199","Native 13","gp",7,0.5,"!","{The_lady}","1",2227,0.5,0.5
"2205","Native 13","gp",14,-0.5,"!","{The_doctor_woke_himself_up}","1",3610,0.5,0.5
"2213","Native 13","gp",8,-0.5,"!","{The_boy}","1",1601,0.5,0.5
"2219","Native 13","gp",2,-0.5,"!","{The_mother_dressed_herself}","1",2929,0.5,0.5
"2230","Native 13","gp",19,0.5,"!","{The_basketball_player}","1",1860,0.5,0.5
"2233","Native 13","gp",16,-0.5,"!","{The_assistant}","1",1635,0.5,0.5
"2240","Native 13","gp",21,0.5,"!","{Anna_dressed_herself}","1",2238,0.5,0.5
"2247","Native 13","gp",11,0.5,"!","{The_lady}","0",1971,0.5,0.5
"2253","Native 13","gp",10,-0.5,"!","{The_two_soldiers_fought_each_other}","1",6909,0.5,0.5
"2259","Native 13","gp",23,0.5,"!","{The_child}","1",3349,0.5,0.5
"2263","Native 13","gp",13,0.5,"!","{The_girl_calmed_herself_down}","1",3211,0.5,0.5
"2267","Native 13","gp",22,-0.5,"!","{The_two_footballers_fought_each_other}","1",3984,0.5,0.5
"2270","Native 13","gp",9,0.5,"!","{The_pianist_calmed_himself_down}","1",4663,0.5,0.5
"2273","Native 13","gp",1,0.5,"!","{The_lawyer_calmed_himself_down}","1",2743,0.5,0.5
"2276","Native 13","gp",20,-0.5,"!","{The_man}","1",1499,0.5,0.5
